listing_id,base_price,room_type,property_type,accommodates,bedrooms,beds,bathrooms,listing_location,host_location,latitude,longitude,minimum_nights,maximum_nights,host_is_superhost,amenities_count,number_of_reviews,reviews_per_month,avg_rating,review_count,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1284084455415497201,223.53,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,,37.989955243850666,23.72315588465576,2,14,0.0,43,0,,,,,,,,,,
37250869,260.78,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,ΑΜΠΕΛΟΚΗΠΟΙ,"Athens, Greece",37.99032,23.75703,4,1125,0.0,26,2,0.03,,,5.0,5.0,5.0,5.0,5.0,5.0,4.5
731565605054289053,111.76,Entire home/apt,Entire condo,2,1.0,1.0,1.0,ΠΑΤΗΣΙΑ,"Athens, Greece",38.00898,23.73364,1,365,0.0,26,33,1.22,,,4.85,4.91,4.94,4.94,4.94,4.27,4.58
821729188489418348,432.16,Entire home/apt,Entire rental unit,8,4.0,5.0,1.5,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,,37.98684,23.72754,3,365,0.0,38,23,1.11,,,4.65,4.61,4.78,4.78,4.74,4.35,4.57
1212059867903457007,484.31,Entire home/apt,Entire rental unit,4,1.0,2.0,1.0,ΑΚΡΟΠΟΛΗ,"Athens, Greece",37.96337575038172,23.718609282256875,2,1125,0.0,43,3,0.74,,,5.0,5.0,4.67,5.0,5.0,5.0,5.0
1041934560320291970,111.76,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,ΑΜΠΕΛΟΚΗΠΟΙ,,37.9917165,23.7566855,2,346,0.0,17,6,0.56,,,3.83,4.5,3.5,4.83,4.0,4.83,3.67
702916793449488557,268.24,Entire home/apt,Entire rental unit,4,1.0,,,ΝΕΟΣ ΚΟΣΜΟΣ,,37.95516279350859,23.722908777002328,2,59,1.0,42,16,0.66,,,4.94,5.0,4.75,5.0,4.94,4.75,4.75
710050558288602271,201.18,Entire home/apt,Entire condo,2,1.0,1.0,1.0,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,"Athens, Greece",37.9633,23.72418,2,1125,1.0,43,61,2.18,5.0,2.0,4.93,4.98,4.92,4.93,5.0,4.89,4.95
1196897946355465212,432.16,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,ΣΤΑΔΙΟ,,37.96817822182927,23.74323283358104,1,365,1.0,49,22,4.0,,,4.95,5.0,4.82,4.86,5.0,4.86,4.77
1305063232749281612,96.86,Private room,Private room in rental unit,2,1.0,1.0,1.0,ΑΝΩ ΚΥΨΕΛΗ,"Berlin, Germany",38.0034,23.73453,4,365,1.0,14,0,,,,,,,,,,
1197971926854422708,447.06,Entire home/apt,Entire home,8,3.0,4.0,2.0,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,,37.9871135,23.7215874,3,30,0.0,25,4,0.73,,,5.0,5.0,5.0,5.0,5.0,4.5,5.0
1262879811222932536,916.47,Entire home/apt,Entire home,6,3.0,6.0,2.0,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,"Athens, Greece",37.97614589903017,23.72640102047583,3,365,0.0,14,0,,,,,,,,,,
895375153369670648,409.8,Entire home/apt,Entire rental unit,4,1.0,2.0,1.0,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,"Athens, Greece",37.9649585,23.7252049,3,365,1.0,41,39,2.43,,,5.0,4.97,4.97,5.0,5.0,5.0,4.97
724535209691363627,312.94,Entire home/apt,Entire condo,3,1.0,2.0,1.0,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,,37.9632403,23.7218286,2,30,1.0,32,24,0.88,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1085553109695292860,283.14,Entire home/apt,Entire home,4,1.0,1.0,1.0,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,"Kallithea, Greece",37.98905577363976,23.733561071656883,1,365,0.0,6,25,2.34,,,4.72,4.72,4.6,4.64,4.4,4.84,4.6
638379580565435731,275.69,Entire home/apt,Entire condo,4,2.0,2.0,1.0,ΝΕΟΣ ΚΟΣΜΟΣ,,37.95436,23.7277,3,365,1.0,38,96,3.23,5.0,1.0,4.97,4.98,4.96,4.98,4.99,4.86,4.96
776030941666427506,2525.88,Entire home/apt,Entire townhouse,16,6.0,,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,"Athens, Greece",37.977649,23.731324,1,365,1.0,48,20,1.17,,,4.95,4.85,4.9,4.95,4.9,4.95,4.9
654259950063005113,245.88,Entire home/apt,Entire serviced apartment,4,1.0,2.0,1.0,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,"Athens, Greece",37.9890548,23.7296864,2,90,0.0,47,15,0.5,,,4.2,4.27,4.0,4.73,4.2,3.93,4.07
1144099494614423923,275.69,Entire home/apt,Entire condo,7,2.0,4.0,1.0,ΚΟΛΩΝΟΣ,,37.99122,23.71668,1,365,1.0,37,17,2.31,5.0,1.0,4.82,4.82,4.94,4.82,4.82,4.41,4.76
1206461184556630560,134.12,Entire home/apt,Entire condo,2,1.0,,,ΓΚΑΖΙ,"Athens, Greece",37.97708328658288,23.71070955767211,1,365,1.0,57,1,0.31,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1178404420923835416,417.25,Entire home/apt,Entire rental unit,6,2.0,2.0,2.0,ΝΕΟΣ ΚΟΣΜΟΣ,,37.96435274049264,23.72897543013096,2,365,0.0,28,6,0.96,,,5.0,5.0,5.0,5.0,5.0,5.0,4.83
578680159574635383,1594.51,Entire home/apt,Entire villa,10,4.0,6.0,3.0,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,,37.974442,23.728209,2,90,1.0,18,68,2.13,,,4.96,4.93,4.94,4.97,5.0,5.0,4.96
1114295666975517381,298.04,Entire home/apt,Entire rental unit,4,1.0,2.0,1.0,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,,37.986497,23.7330492,2,365,0.0,13,2,0.3,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
614324023864384124,193.73,Entire home/apt,Entire condo,4,1.0,2.0,1.0,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,"Athens, Greece",38.00882,23.73162,2,31,0.0,33,9,0.28,,,5.0,4.67,5.0,5.0,5.0,4.89,5.0
1181042689839114160,52.16,Private room,Private room in rental unit,1,1.0,1.0,1.5,ΑΝΩ ΚΥΨΕΛΗ,"Athens, Greece",38.0058971,23.7358395,3,120,0.0,27,0,,,,,,,,,,
856581536246620930,260.78,Entire home/apt,Entire rental unit,4,2.0,3.0,1.5,ΝΕΟΣ ΚΟΣΜΟΣ,"Athens, Greece",37.9627572,23.726189,2,365,1.0,53,22,1.05,,,4.77,4.86,4.86,4.86,4.82,4.59,4.77
1265283330309207189,134.12,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,ΝΕΟΣ ΚΟΣΜΟΣ,"Athens, Greece",37.957199,23.7358964,5,30,0.0,10,0,,,,,,,,,,
53158964,96.86,Entire home/apt,Entire condo,2,1.0,1.0,1.0,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,"Athens, Greece",37.996151,23.724003,1,1125,1.0,49,147,4.07,,,4.65,4.8,4.74,4.9,4.97,3.97,4.67
19237710,469.41,Entire home/apt,Entire rental unit,3,1.0,2.0,1.0,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,"Athens, Greece",37.97706,23.7337,1,29,,27,448,4.9,3.0,2.0,4.79,4.89,4.83,4.88,4.92,4.93,4.79
1092812568380728233,335.29,Entire home/apt,Entire rental unit,4,1.0,,,ΠΑΓΚΡΑΤΙ,"Athens, Greece",37.9694664,23.748245,2,28,,33,5,0.52,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
644542328236752738,819.61,Entire home/apt,Entire condo,8,3.0,5.0,1.5,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,,37.96486,23.72395,3,90,1.0,38,115,3.8,,,4.97,4.98,4.99,4.96,4.99,4.92,4.93
1203601361997930340,946.27,Entire home/apt,Entire rental unit,6,2.0,2.0,2.0,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,"Athens, Greece",37.97365,23.73433,1,365,0.0,27,24,5.22,0.0,1.0,4.79,4.83,4.96,4.88,4.96,4.96,4.88
850480650704793680,268.24,Entire home/apt,Entire rental unit,4,2.0,3.0,1.0,ΝΕΟΣ ΚΟΣΜΟΣ,,37.96427373817028,23.72819649477801,1,365,1.0,49,67,3.24,2.0,2.0,4.82,4.88,4.72,4.94,4.76,4.9,4.84
939588700545798253,506.67,Entire home/apt,Entire rental unit,5,2.0,2.0,2.0,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,"Athens, Greece",37.96512,23.72635,1,1125,1.0,35,41,2.52,5.0,1.0,4.83,4.88,4.85,4.98,4.93,4.93,4.83
959881715238206357,126.67,Private room,Private room in rental unit,2,0.0,1.0,1.0,ΑΜΠΕΛΟΚΗΠΟΙ,,37.99126816057102,23.76457866213625,1,365,1.0,9,4,0.25,,,5.0,5.0,4.75,5.0,5.0,5.0,5.0
1103411051025966131,1117.65,Entire home/apt,Entire condo,7,2.0,4.0,1.5,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,"San Francisco, CA",37.9769391,23.7269542,1,60,1.0,35,40,4.8,5.0,1.0,4.98,4.93,5.0,4.95,4.9,5.0,4.93
28173727,305.49,Private room,Private room in rental unit,2,3.0,3.0,1.5,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,"Athens, Greece",37.98468,23.73239,2,1125,1.0,29,41,0.54,,,4.68,4.83,4.22,4.95,4.95,4.93,4.68
44082262,89.41,Entire home/apt,Entire condo,2,1.0,1.0,1.0,ΠΟΛΥΓΩΝΟ,"Kifisia, Greece",37.996341705322266,23.749879837036133,2,60,0.0,39,32,0.66,,,4.81,4.75,4.78,4.84,4.84,4.41,4.72
894078660081616809,640.78,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,"Athens, Greece",37.9764951,23.7316029,2,365,1.0,42,29,1.58,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.97
944989992568312930,335.29,Entire home/apt,Entire rental unit,5,1.0,3.0,1.0,ΝΕΟΣ ΚΟΣΜΟΣ,"Tel Aviv-Yafo, Israel",37.96647,23.7312,2,60,0.0,35,0,,,,,,,,,,
45266796,134.12,Private room,Room in boutique hotel,2,1.0,,,ΘΗΣΕΙΟ,"Athens, Greece",37.97789,23.72129,1,1125,1.0,14,0,,,,,,,,,,
874719484224237663,260.78,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,ΑΜΠΕΛΟΚΗΠΟΙ,"Maastricht, Netherlands",37.991595,23.7624,4,1125,0.0,45,7,0.37,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1249773221328029363,260.78,Entire home/apt,Entire rental unit,4,1.0,2.0,1.0,ΘΗΣΕΙΟ,"Athens, Greece",37.97437,23.71694,2,28,1.0,35,0,,,,,,,,,,
1195625451890053001,111.76,Entire home/apt,Entire rental unit,2,1.0,2.0,1.0,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,,37.9901159,23.7231988,2,365,1.0,7,4,0.83,,,5.0,5.0,5.0,5.0,5.0,4.75,5.0
1097671597938355841,760.0,Entire home/apt,Entire condo,5,2.0,3.0,1.5,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,,37.98507416588318,23.72823236508286,2,28,0.0,41,0,,,,,,,,,,
719984917509379549,439.61,Entire home/apt,Entire rental unit,6,2.0,2.0,3.0,ΠΕΤΡΑΛΩΝΑ,"Athens, Greece",37.96842,23.70675,1,1125,,49,9,0.35,,,4.89,4.89,4.89,4.89,5.0,4.67,4.89
685274826806674138,134.12,Entire home/apt,Entire condo,2,1.0,1.0,1.5,ΝΕΟΣ ΚΟΣΜΟΣ,,37.964685,23.7297329,2,1125,0.0,39,0,,,,,,,,,,
1033228442679386171,402.35,Entire home/apt,Entire condo,6,2.0,4.0,1.5,ΝΕΟΣ ΚΟΣΜΟΣ,,37.963562395368655,23.728495985269547,5,60,0.0,41,35,2.92,,,4.71,4.77,4.8,4.8,4.89,4.71,4.77
836245627731691861,238.43,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,ΑΜΠΕΛΟΚΗΠΟΙ,"Athens, Greece",37.9930986,23.7603637,1,1125,0.0,38,61,3.29,2.0,3.0,4.67,4.72,4.61,4.84,4.66,4.64,4.64
